id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
274;Dell Inspiron 3020 Small Desktop;24990;20653;;;In stock > 5 pcs at the partner's;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;219.0;16.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;;HDMI, DisplayPort;92.6;;292.86;290.0;;['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Inspiron;2.1;30.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
275;HP Z2 G9 TWR;45090;37264;;;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;;32.0;DDR5;NVIDIA Quadro;RTX A2000;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;6.0;1.0;HDMI 2.0, DisplayPort 1.4, miniDisplayPort 1.4;356.0;;169.0;385.0;['Mouse', 'Keyboard'];['Performance'];['Memory Card Reader'];700.0;;2.1;30.0;;12.0;;;;['PCI Express x1', 'PCI Express x4', 'PCI Express x16', 'M.2'];0.0;1.0;0.0;2.0;1.0;3.0;Big Tower;;;;4800.0;128.0;4.0;;3.0;1.0;['RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;;;;;;
276;Lenovo IdeaCentre 5 24IAH7 Storm Grey (záruka na 3 roky po registraci);23990;19826;;;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 12500H Alder Lake;12.0;;4.5;95.0;16.0;DDR5;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;1.0;2.0;HDMI;541.2;;187.57;433.38;['Mouse', 'Keyboard'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];180.0;Lenovo IdeaCentre;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];;;;;;;All In One;Side;;;4800.0;16.0;2.0;2.0;1.0;1.0;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;21684.0;;;;;
277;Dell Inspiron 3020 Small Desktop;12490;10322;;;In stock 2 pcs at the partner's;;;;Intel Core i3;Intel Core i3 13100 Raptor Lake;4.0;;4.5;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];256.0;256.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;;HDMI, DisplayPort;92.6;;292.86;290.0;;['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Inspiron;3.4;12.0;['Automatic Overclocking', 'HyperThreading'];;;;;['PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
278;Intel NUC 11 Extreme RNUC11BTMI90002;17590;14537;;;In stock 5 pcs at the partner's;;;;Intel Core i9;Intel Core i9 11900KB Tiger Lake;8.0;;4.9;65.0;;no RAM;Intel;UHD Graphics;['Without Operating System'];['no storage'];;;;;;;;8.0;2.0;HDMI, USB-C;120.0;;357.0;189.0;['Power adapter'];['Mini PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];;;3.3;24.0;['HyperThreading', 'Virtualization Support'];;;;Integrated CPU;['M.2'];;;;;;;;;;;3200.0;64.0;2.0;0.0;;;['Kensington lock', 'LAN'];Without Optical Drive;;;;;;;['WiFi 6'];;;;;;;
279;Alza BattleBox Raptor i7 RTX4080 Quiet;79990;66107;;;Last piece in stock;;;;Intel Core i7;Intel Core i7 13700KF Raptor Lake;16.0;;5.4;253.0;32.0;DDR4;NVIDIA GeForce;RTX 4080;['Windows 11 Pro'];['SSD'];2000.0;2000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;HDMI, DisplayPort;232.0;;450.0;463.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];1000.0;Alza Battlebox;3.4;30.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support', 'No graphics chip'];16.0;9728.0;;Intel LGA1700;;;;;;1.0;4.0;Midi Tower;Top;Transparent;Tempered glass;3600.0;;4.0;2.0;;5.0;;Without Optical Drive;;['3-year warranty even for businesses'];1.0;;;;;;;;;;;
280;Dell Inspiron 3020;35290;29165;;;In stock > 5 pcs at the partner's;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;219.0;16.0;DDR4;NVIDIA GeForce;RTX 3050;['Windows 11 Pro'];['SSD', 'HDD'];1512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;1.0;HDMI, DisplayPort;154.0;;292.8;324.3;;['Gaming'];['Bluetooth', 'Wi-Fi'];300.0;Dell Inspiron;2.1;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;;;;['PCI Express x1', 'PCI Express x16'];1.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;3.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;7200.0;1024.0;
281;Dell Vostro 3020 SFF;19190;15860;;;In stock > 5 pcs at the partner's;;;;Intel Core i5;Intel Core i5 13400 Raptor Lake;10.0;;4.6;154.0;16.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;;HDMI, DisplayPort;92.6;;292.86;290.0;;['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Vostro;2.5;20.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
282;HP 22-dd0051nc White;13990;11562;;;In stock 5 pcs at the partner's;21.5;1920 × 1080 px;IPS;AMD Ryzen 3;AMD Ryzen 3 3250U;2.0;;3.5;15.0;8.0;DDR4;AMD Radeon;Graphics;['Without Operating System'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;;HDMI;490.3;;204.5;380.7;['Mouse', 'Keyboard', 'Webcam'];['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;;2.6;4.0;;;;;;;;;;;;;All In One;;;;2400.0;;1.0;1.0;2.0;2.0;['Combo Audio Jack', 'Kensington lock', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;['WiFi a/b/g/n/ac'];;3936.0;;;;;
283;Acer Aspire C24-1300;13990;11562;;;In stock > 5 pcs;23.8;1920 × 1080 px;LED;AMD Ryzen 3;AMD Ryzen 3 7320U;4.0;;4.1;15.0;8.0;DDR4;AMD Radeon;610M Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI, USB-C;542.1;;38.26;432.9;;['All-in-one PC'];['Bluetooth', 'Wi-Fi'];65.0;Acer Aspire;2.4;4.0;['Automatic Overclocking'];;;;;['M.2'];;1.0;;;1.0;1.0;All In One;;;;3200.0;;2.0;2.0;2.0;1.0;['Audio Jack 3.5mm'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
284;Lenovo V50a-22;17990;14868;;;In stock > 5 pcs;21.5;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 10100T Comet Lake;4.0;;3.8;35.0;8.0;DDR4;Intel;UHD Graphics 630;['Windows 10 Home'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;1.0;HDMI;490.0;;220.0;420.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Opticl drive', 'Webcam', 'Wi-Fi', 'Speakers'];90.0;Lenovo V series;3.0;6.0;['Automatic Overclocking'];0.13;;;Intel 1200;;;;;;1.0;;All In One;;;;2666.0;32.0;2.0;2.0;3.0;2.0;['Combo Audio Jack', 'WAN/LAN'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;;;;;;;;
285;Dell Inspiron 27 (7720) Touch bílý;35790;29579;;;In stock 3 pcs;27.0;1920 × 1080 px;WVA;Intel Core i7;Intel Core i7 1355U Raptor Lake;10.0;;5.0;55.0;16.0;DDR4;NVIDIA GeForce;MX550;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;;1.0;HDMI;614.7;;200.71;455.5;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Touch display', 'Wi-Fi', 'Speakers'];130.0;Dell Inspiron;1.7;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];2.0;;;;;0.0;1.0;;;1.0;1.0;All In One;;;;3200.0;32.0;2.0;2.0;;4.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
286;ASUS ExpertCenter PN52 (BBR959XD);15990;13215;1.0;1.0;In stock 3 pcs at the partner's;;;;AMD Ryzen 9;AMD Ryzen 9 5900HX;8.0;;4.6;54.0;;no RAM;AMD Radeon;Graphics;['Without Operating System'];['no storage'];;;;;;;;2.0;2.0;HDMI, DisplayPort, USB-C;120.0;;130.0;58.0;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;;3.3;16.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];;;;Integrated CPU;['M.2', 'SATA III'];;;;;;;Desktop;Front;Opaque;;;;2.0;;;5.0;['RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;['WiFi 802.11ax'];;;;;;;
287;Lenovo IdeaCentre 5 24IAH7 Storm Grey (záruka na 3 roky po registraci);23490;19413;;;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 12500H Alder Lake;12.0;;4.5;95.0;16.0;DDR5;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;;2.0;HDMI;541.2;;187.57;433.38;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];180.0;Lenovo IdeaCentre;1.8;18.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];;;;;;;All In One;;;;4800.0;16.0;2.0;2.0;1.0;;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
288;Lenovo Yoga AIO 7 27ARH7 Cloud Grey (záruka 3 roky Premium Care On-Site po registraci);36990;30570;;;In stock 2 pcs;27.0;3840 × 2160 px;IPS;AMD Ryzen 5;AMD Ryzen 5 6600H;6.0;;4.5;45.0;16.0;LPDDR5;AMD Radeon;660M;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;DisplayPort;614.6;;242.0;513.35;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];170.0;Lenovo Yoga;3.3;16.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['M.2'];0.0;0.0;0.0;0.0;1.0;2.0;All In One;;;;6400.0;32.0;0.0;0.0;2.0;;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;;;;;['Mouse', 'Keyboard'];;['WiFi 802.11ax'];;;;;;;
289;Fujitsu Primergy RX1330 M5;67990;56190;;;In stock > 5 pcs;;;;Intel Xeon E;Intel Xeon E 2388G;8.0;;5.1;95.0;32.0;DDR4;Intel;UHD Graphics P750;['Without Operating System'];['no storage'];0.0;;['SATA III', 'SAS', 'M.2 (NVMe)'];;;;;;1.0;VGA D-SUB;435.0;;506.0;43.0;;['Server'];;500.0;Fujitsu Primergy;3.2;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;32000.0;;Intel FCLGA1200;['PCI Express x4', 'PCI Express x8'];0.0;4.0;;;0.0;2.0;Rack;Front;Opaque;Steel;3200.0;128.0;4.0;1.0;2.0;2.0;['LAN'];Without Optical Drive;;;;;;;;;23844.0;;;;;
290;HPE MicroServer Gen10+ v2;19990;16521;;;In stock 2 pcs;;;;Intel Pentium;Intel Pentium 6405 Comet Lake;2.0;;;58.0;16.0;DDR4;Without graphics card;Without graphics card;['Without Operating System'];['no storage'];0.0;;['SATA III'];;;;;2.0;0.0;VGA D-SUB, DisplayPort;245.0;;245.0;119.0;;['Server'];;180.0;;4.1;4.0;['HyperThreading', 'Virtualization Support'];;;;;['PCI Express x16', 'SATA III'];;;0.0;4.0;;;Micro Tower;Front;;;3200.0;64.0;2.0;1.0;1.0;4.0;['RJ-45 (LAN) 1Gbps'];;;['No extended warranty'];0.0;;;;;;;4.0;;;;
291;Mac mini M2 PRO 2023;46990;38835;;;In stock 2 pcs;;;;Apple Silicon;Apple M2 Pro (12-core);12.0;;;;16.0;;Apple;M2 PRO 19-core GPU;['macOS'];['SSD'];512.0;512.0;;;;;;;4.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;['Power cable'];['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;2.0;['Headphone input', 'RJ-45 (LAN)'];Without Optical Drive;;;;;;;['WiFi 6E'];;;;;;;
292;HAL3000 Alfa Gamer Elite 4080;69990;57843;;;In stock 1 pcs at the partner's;;;;AMD Ryzen 7;AMD Ryzen 7 7700X;8.0;;5.4;105.0;32.0;DDR5;NVIDIA GeForce;RTX 4080;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;220.0;;442.0;472.0;;['Gaming'];['Bluetooth', 'RGB backlight', 'Wi-Fi', 'AMD Smart Access Memory'];850.0;Alfa Gamer;4.5;32.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];16.0;9728.0;GeForce VR-Ready;AMD AM5;['PCI Express x16'];0.0;4.0;0.0;2.0;1.0;3.0;Midi Tower;Top;Transparent;Tempered glass;6000.0;128.0;4.0;2.0;3.0;5.0;['7.1 Channel Audio(3 ports)', 'PS2', 'RJ-45 (LAN) 2.5Gbps', 'Headphone/Speaker output'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];;;;;;;;;;;;
293;Acer Nitro N50-650;34990;28917;;;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 13700F Raptor Lake;16.0;30.0;5.2;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060 Ti;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;175.0;;386.0;392.0;;['Gaming'];['Bluetooth', 'Wi-Fi'];500.0;Acer Nitro;1.5;;['Automatic Overclocking', 'HyperThreading'];8.0;4864.0;GeForce VR-Ready;;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;32.0;2.0;2.0;4.0;2.0;['Audio Jack 3.5mm', 'Microphone input', 'Audio input (Line in)', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
294;MSI MEG Aegis Ti5 13NUF-255EU;76490;63215;;;In stock 2 pcs;;;;Intel Core i7;Intel Core i7 13700KF Raptor Lake;16.0;;5.4;125.0;32.0;DDR5;NVIDIA GeForce;RTX 4070 Ti;['Windows 11 Home'];['SSD', 'HDD'];3000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;2.0;HDMI, DisplayPort;551.3;;239.9;511.6;;['Gaming'];['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];850.0;;3.4;30.0;['Automatic Overclocking', 'HyperThreading', 'No graphics chip'];12.0;7680.0;GeForce VR-Ready;Intel LGA1700;;;2.0;1.0;1.0;1.0;3.0;Midi Tower;Top;Opaque;;4800.0;128.0;4.0;2.0;2.0;2.0;['7.1 Channel Audio(3 ports)', 'PS2', 'S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;;;;;;7200.0;2048.0;
295;Acer Aspire C24-1750;19990;16521;;;In stock 3 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1240P Alder Lake;12.0;;4.4;64.0;8.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;;;;;;1.0;1.0;;540.4;;37.3;405.2;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];65.0;Acer Aspire;3.3;12.0;['Automatic Overclocking', 'HyperThreading'];;;;;['M.2'];0.0;1.0;;;1.0;1.0;All In One;;;;3200.0;32.0;2.0;1.0;1.0;2.0;['RJ-45 (LAN) 2.5Gbps', 'Audio input (Line in)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;1.0;;;;
296;Lenovo Yoga AIO 9 32IRH8 Storm Grey (záruka 3 roky Premium Care On-Site);49190;40653;;;In stock 2 pcs;31.5;3840 × 2160 px;IPS;Intel Core i9;Intel Core i9 13900H Raptor Lake;14.0;;5.4;115.0;16.0;LPDDR5;Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;2.0;2.0;HDMI;724.04;;253.02;543.1;['Power adapter'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];170.0;Lenovo Yoga;1.9;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel FCBGA1744;;;;;;;;All In One;;;;5600.0;;0.0;0.0;;;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
297;DELL Optiplex 7410;28790;23793;;;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 13500T Raptor Lake;14.0;;4.6;92.0;16.0;DDR4;Intel;UHD Graphics 770;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;1.0;DisplayPort;540.0;;58.0;354.0;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi', 'Speakers'];130.0;Dell Optiplex;1.6;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;0.0;1.0;;;1.0;1.0;All In One;;;;3200.0;64.0;2.0;1.0;2.0;3.0;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
298;HP 290 G9 Jet Black;13490;11149;;;In stock > 5 pcs;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;;VGA D-SUB, HDMI;95.0;;303.0;270.0;['Power cable'];['Office'];;180.0;;3.3;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];;;0.0;1.0;1.0;1.0;Big Tower;Front;Opaque;;2933.0;;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;['Windows 11 compatible'];;;;1.0;;;;
299;HP 24-cr0004nc Black;23690;19579;;;In stock 1 pcs at the partner's;23.8;1920 × 1080 px;IPS;AMD Ryzen 7;AMD Ryzen 7 7730U;8.0;;4.5;;16.0;DDR4;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;1.0;1.0;HDMI;540.5;;186.2;409.0;;['All-in-one PC'];['Bluetooth', 'Wi-Fi', 'Speakers'];90.0;;2.0;16.0;;;;;;['M.2'];;;;;;;All In One;;;;3200.0;32.0;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
300;ASUS ExpertCenter D7 Mini Tower D700MD 15L Black;18490;15281;;;In stock 1 pcs;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];512.0;512.0;;;;;;;1.0;VGA D-SUB, HDMI, DisplayPort;162.0;;291.3;355.0;['Mouse', 'Keyboard'];['Office'];['Memory Card Reader'];300.0;ASUS ExpertCenter;2.5;18.0;;;;;;;;;;;;;Mini Tower;Front;Opaque;;;128.0;;1.0;4.0;2.0;['Combo Audio Jack', 'LAN', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;;['Mouse', 'Keyboard'];;;;19515.0;;;;;
301;ASUS ExpertCenter D7 Mini Tower D700MD 15L Black;13990;11562;;;In stock 3 pcs;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;;8.0;DDR4;Intel;UHD Graphics 730;['Without Operating System'];['SSD'];512.0;512.0;;;;;;;1.0;VGA D-SUB, HDMI, DisplayPort;162.0;;291.3;355.0;['Mouse', 'Keyboard'];['Office'];['Memory Card Reader'];300.0;ASUS ExpertCenter;2.5;18.0;;;;;;;;;;;;;Mini Tower;Front;Opaque;;;128.0;;1.0;4.0;2.0;['Combo Audio Jack', 'LAN', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;;['Mouse', 'Keyboard'];;;;19515.0;;;;;
302;Lenovo Yoga AIO 7 27ARH7 (záruka 3 roky Premium Care On-Site po registraci);53990;44620;;;In stock 3 pcs;27.0;3840 × 2160 px;IPS;AMD Ryzen 7;AMD Ryzen 7 6800H;8.0;;4.7;45.0;32.0;LPDDR5;AMD Radeon RX;6600M;['Windows 11 Home'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;3.0;2.0;DisplayPort;614.6;;242.0;513.35;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];300.0;Lenovo Yoga;3.2;16.0;['Automatic Overclocking', 'Virtualization Support'];8.0;;;;;;;;;;;All In One;Side;;;6400.0;16.0;0.0;0.0;2.0;;['Combo Audio Jack', 'WAN/LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Next Business Day'];;;['Mouse', 'Keyboard'];;;;;;;;;
