id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;Hard drive -> Number of occupied slots 2.5";Hard drive -> Slots in total 2.5";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;
1566;16.0;;400.0;12.0;3.4;4.7;28.0;18.0;16.0;;;;;4.0;;;;;1000.0;;1000.0;1.0;2.0;;;;56.0;100.0;8.5;4.0;;1.75;;2.0;;;;;356.3;17.9;239.7;
1567;16.0;;;10.0;3.7;4.6;15.0;12.0;16.0;;1.0;2.0;;4.0;;;;;512.0;;512.0;1.0;2.0;;1.0;;65.0;90.0;13.0;3.0;;1.87;1.0;2.0;1.0;;;;358.5;19.9;260.0;
1568;14.0;;;12.0;3.4;4.7;28.0;18.0;16.0;;1.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;56.0;65.0;9.5;3.0;;1.37;;;2.0;;;;319.9;17.99;229.9;
1569;14.0;;;10.0;3.3;4.4;15.0;12.0;8.0;;0.0;0.0;;;;;;;256.0;;256.0;1.0;1.0;;;;56.0;65.0;10.0;3.0;;1.5;2.0;1.0;;;;;313.0;20.5;224.0;
1570;14.0;;400.0;10.0;3.7;5.0;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;12.0;;;1.13;2.0;2.0;2.0;;;;322.0;18.9;211.0;
1571;13.3;;300.0;10.0;3.7;5.0;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;12.5;4.0;;0.99;;2.0;2.0;;;;308.0;18.9;199.0;
1572;14.0;;250.0;10.0;3.3;4.4;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;60.0;65.0;10.5;4.0;;1.35;;2.0;2.0;;;;322.0;19.9;211.0;
1573;14.0;60.0;300.0;12.0;1.4;4.7;28.0;12.0;16.0;7500.0;0.0;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;52.5;100.0;;;;1.34;;2.0;2.0;;;;317.7;17.9;226.9;
1574;14.0;60.0;400.0;14.0;1.4;5.2;64.0;24.0;16.0;7500.0;0.0;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;100.0;;;;1.34;;2.0;2.0;;;;317.7;17.95;226.9;
1575;16.0;60.0;300.0;8.0;3.8;5.1;54.0;16.0;16.0;5600.0;1.0;2.0;;6.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;170.0;;;;2.2;;2.0;2.0;;;;365.0;24.6;262.0;
1576;16.0;165.0;500.0;14.0;1.8;5.0;115.0;24.0;16.0;5600.0;1.0;2.0;;8.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;170.0;;;;1.86;;2.0;2.0;;;;359.5;17.5;253.8;
1577;16.0;60.0;300.0;14.0;1.8;5.0;45.0;24.0;16.0;5600.0;1.0;2.0;;6.0;95.0;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;170.0;;;;2.2;;2.0;2.0;;;;365.0;24.66;262.0;
1578;16.0;60.0;400.0;12.0;1.5;4.7;64.0;18.0;16.0;3200.0;;;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;100.0;;;;1.68;;2.0;2.0;;;;361.9;20.83;255.5;
1579;14.0;60.0;300.0;6.0;0.9;4.5;55.0;10.0;8.0;5200.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;2.0;;;;45.0;65.0;13.78;;;1.38;1.0;2.0;1.0;;;;313.5;16.9;224.0;
