;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
2257;2257;16.0;165.0;500.0;14.0;1.8;5.0;45.0;24.0;16.0;4800.0;1.0;2.0;;16.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;90.0;230.0;;;;1.81;;1.0;2.0;;;;359.5;17.7;253.8;;177490.0;146686.0
2258;2258;13.3;60.0;300.0;10.0;0.9;4.6;55.0;12.0;16.0;4800.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;54.7;65.0;11.2;;;1.21;;2.0;2.0;;;;301.7;16.4;214.6;;33190.0;27430.0
2259;2259;13.4;60.0;500.0;12.0;2.2;5.0;28.0;18.0;32.0;6000.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;55.0;60.0;;3.0;;1.26;;;2.0;;;;295.3;15.28;199.04;;66490.0;54950.0
2260;2260;16.0;60.0;250.0;10.0;1.8;5.2;55.0;12.0;32.0;4800.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;0.0;;57.0;65.0;;3.0;;1.84;;2.0;2.0;;;;358.0;19.5;250.42;;51490.0;42554.0
2261;2261;16.0;120.0;400.0;14.0;1.8;5.0;45.0;24.0;32.0;3200.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;83.0;200.0;8.75;6.0;;2.34;;;2.0;2.0;;;357.4;19.9;252.4;;59090.0;48835.0
2262;2262;14.4;;;14.0;;;55.0;24.0;64.0;;;;;;;;;;2000.0;;2000.0;;;;;;58.0;120.0;;6.0;;2.0;;1.0;2.0;;;;323.0;21.9;230.0;;129990.0;107430.0
2263;2263;16.0;60.0;300.0;8.0;3.3;5.1;30.0;16.0;32.0;7500.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;52.5;65.0;;;;1.7;1.0;2.0;1.0;;;;361.98;20.5;255.5;;41690.0;34455.0
2264;2264;17.0;60.0;500.0;14.0;2.4;4.8;35.0;24.0;32.0;4800.0;2.0;2.0;;12.0;60.0;;;;512.0;;512.0;1.0;1.0;;;;97.0;130.0;;6.0;;2.13;;;4.0;;;;374.48;13.15;248.08;;122190.0;100983.0
2265;2265;13.4;60.0;400.0;12.0;2.2;5.0;28.0;18.0;32.0;6000.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;55.0;60.0;;3.0;;1.23;;;2.0;;;;295.3;15.28;199.04;;60990.0;50405.0
2266;2266;13.4;60.0;500.0;12.0;2.2;5.0;28.0;18.0;32.0;6000.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;55.0;60.0;;3.0;;1.26;;;2.0;;;;295.3;15.28;199.04;;62990.0;52058.0
2267;2267;15.6;;400.0;14.0;;5.0;;24.0;16.0;;;;;6.0;;;;;512.0;;512.0;;;;;;83.0;;;6.0;;2.01;;3.0;1.0;;;;359.4;22.8;233.9;;36290.0;29992.0
2268;2268;16.0;60.0;400.0;10.0;1.2;5.0;15.0;12.0;32.0;5200.0;2.0;2.0;;4.0;60.0;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;51.0;110.0;16.75;3.0;;1.72;;2.0;2.0;;;;358.7;19.9;250.9;;43190.0;35694.0
2269;2269;10.51;;;4.0;;;6.0;6.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;26.8;24.0;11.0;2.0;;0.54;1.0;;;;;;245.0;8.3;175.0;;22990.0;19000.0
2270;2270;15.6;60.0;400.0;14.0;1.9;5.4;45.0;24.0;32.0;5200.0;2.0;2.0;;8.0;1750.0;1687.0;;;2000.0;;2000.0;1.0;2.0;0.0;0.0;;83.0;150.0;;6.0;;2.01;;3.0;1.0;;;;359.4;22.8;233.9;;62190.0;51397.0
2271;2271;14.0;60.0;400.0;10.0;0.9;4.6;15.0;12.0;16.0;48000.0;1.0;2.0;;4.0;60.0;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;51.0;65.0;11.25;3.0;;1.45;;2.0;2.0;;;;315.6;19.9;224.3;;29290.0;24207.0
2272;2272;14.0;90.0;400.0;12.0;1.9;4.7;45.0;18.0;16.0;3200.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;51.0;90.0;9.25;3.0;;1.4;2.0;2.0;;;;;313.5;18.4;224.2;;27990.0;23132.0
2273;2273;14.4;;;14.0;;;55.0;24.0;32.0;;;;;;;;;;1000.0;;1000.0;;;;;;58.0;120.0;;6.0;;2.0;;1.0;2.0;;;;323.0;21.9;230.0;;79990.0;66107.0
2274;2274;15.6;;400.0;14.0;;5.0;;24.0;16.0;;;;;6.0;;;;;512.0;;512.0;;;;;;83.0;;;6.0;;2.01;;3.0;1.0;;;;359.4;22.8;233.9;;41990.0;34702.0
2275;2275;14.4;;;14.0;;;55.0;24.0;64.0;;;;;;;;;;2000.0;;2000.0;;;;;;58.0;120.0;;6.0;;2.0;;1.0;2.0;;;;323.0;21.9;230.0;;107990.0;89248.0
